titel;verantwoordelijken;impressum;isbn_bindwijze
De vrouwen van het kamp;"Heather Morris ; vertaling [uit het Engels]: Karin de Haas";Amsterdam : HarperCollins;9789402716917 - paperback
Het verraad van Parijs;"Pam Jenoff ; vertaling [uit het Engels]: Saskia Peeters";Amsterdam : Xander;9789401624305 - paperback
De verraadster van Vorden;Rachel van Charante;Amsterdam : Xander;9789401623711 - paperback
Tussen de zomers;"Alexa Hennig von Lange ; vertaald uit het Duits door Sylvia Wevers";Amsterdam : A.W. Bruna Uitgevers;9789400517325 - paperback
On/t/schuld;"Boris Wanders|gedichten ; Judith Lechner|fotografie";[Groningen] : Studio 174;9789090381220 - paperback
De vlucht van David Brenner;Nicolette Knobbe;[Meppel] : Just Publishers;9789089757074 - paperback
Sabel;Suzanne Wouda;[Hoorn] : Uitgeverij Hoogland & Van Klaveren;9789089672452 - gebonden
De boekendief : in makkelijke taal;"Markus Zusak ; bewerking in eenvoudig Nederlands: Marian Hoefnagel ; redactie en vormgeving: Eenvoudig Communiceren ; illustraties binnenwerk: Trudy White";Amsterdam : Uitgeverij Eenvoudig Communiceren;9789086967841 - paperback
Als ik zo vrij mag zijn;"Annemarie Maas ; redactie Isabel Timmers ; foto's en ander beeldmateriaal Marcel Krijgsman";Arnhem : Uitgeverij VrouwEnWijsheid;9789083538181 - paperback
Strijden voor de mens : oorlogsgeschriften 1936-1944;"Antoine de Saint-Exupéry ; geselecteerd, vertaald [uit het Frans] en ingeleid door Stefan Waanders";[Groningen] : Uitgeverij Nobelman;9789083503097 - paperback
Oorlog en overspel : een onderduiker in de Akerpolder : novelle;"Jeroen Wielaert ; tekstredactie: Frans Niesen en Niko Koers";Amsterdam : Cultureel Boekencentrum Nieuw-West;9789083479019 - paperback
Wat wij nalaten;Joyce Bergvelt;Obdam : Uitgeverij Doornwater;9789083449593 - paperback
Geluk in oorlogstijd : een geromantiseerde biografie;Trea ten Kate;[Zwolle] : Platform 9;9789083304724 - paperback
Een dode meer of minder;René Eijsermans;['s-Hertogenbosch] : Uitgeverij Bravo Donkeyman;9789083200781 - paperback
Bobby-dear;"Lenny van Gessel ; redactie: Jet Hoogerwaard";[Dordrecht] : Avenir Publishing;9789083118970 - paperback
De tijd van de Vervolgoorlog : roman;"Eeva Kilpi ; uit het Fins vertaald door Frank Hendriks ; nawoord: Jukka Kilpi";Groningen : Wilde Aardbeien;9789079873159 - paperback
Tot we elkaar weerzien;Aline van Wijnen;Amsterdam : Boekerij;9789049208974 - paperback
Na de oorlog : hoe kinderen van overlevenden de Tweede Wereldoorlog met zich meedragen;Saskia Goldschmidt;Amsterdam : Meulenhoff;9789089682932 - gebonden
Oosterlicht;"Lorna Cook ; vertaald [uit het Engels] door Erica Feberwee";Amsterdam : Boekerij;9789049208288 - paperback
Voor altijd bij mij;"Kristin Harmel ; vertaald [uit het Engels] door Carolien Metaal";Amsterdam : Boekerij;9789049208257 - paperback
Alles voor mijn zus;"Roberta Kagan ; vertaald [uit het Engels] door Percy Balemans";Amsterdam : Boekerij;9789049208172 - paperback
Het verraad van mijn zus;"Roberta Kagan ; vertaald [uit het Engels] door Percy Balemans";Amsterdam : Boekerij;9789049208066 - paperback
De belofte van mijn zus;"Roberta Kagan ; vertaald [uit het Engels] door Percy Balemans";Amsterdam : Boekerij;9789049208059 - paperback
In het huis van mijn vader;"Joseph O'Connor ; vertaald [uit het Engels] door Waldemar Noë";Amsterdam : Boekerij;9789049207496 - paperback
Het meisje op de foto;"Siobhan Curham ; vertaald [uit het Engels] door Yolande Ligterink";Amsterdam : Boekerij;9789049206918 - paperback
Rachels wens;Aline van Wijnen;Amsterdam : Boekerij;9789049205829 - paperback
